@RELATION elevation

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE elevation NUMERIC

@DATA
479.0,71.5,62
479.0,71.5,62
481.0,71.5,62
481.0,71.5,62
483.5,72.0,62
483.5,72.0,62
484.5,71.0,62
484.5,71.0,62
486.5,72.5,62
486.5,72.5,62
487.5,72.5,62
487.5,72.5,62
489.5,72.0,62
489.5,72.0,62
491.0,71.5,62
491.0,71.5,62
493.5,73.0,62
493.5,73.0,62
495.0,72.0,62
496.0,71.0,62
496.0,71.0,62
496.0,71.0,62
498.0,71.0,62
499.0,72.5,62
499.0,72.5,62
501.5,71.5,62
501.5,71.5,62
502.0,69.0,62
261.5,246.5,61
261.5,247.0,61
261.5,247.0,62
265.0,247.0,61
265.0,247.0,61
259.5,246.0,61
259.5,246.0,61
261.5,247.5,62
261.5,247.5,61
261.0,248.0,62
261.0,248.0,62
257.5,250.0,62
266.0,243.5,62
266.0,243.5,62
266.0,243.5,62
265.5,241.0,62
265.5,241.0,62
266.0,244.0,62
266.0,244.0,62
258.0,246.5,62
257.5,250.0,62
257.5,250.0,62
257.5,250.0,62
256.5,251.5,62
256.0,248.5,62
256.0,248.5,62
256.0,248.5,62
262.5,247.5,62
238.5,252.5,62
238.5,252.5,62
238.5,252.5,63
248.0,250.0,63
254.5,249.5,64
254.5,249.5,64
254.5,249.5,64
268.5,241.0,65
266.5,238.0,65
266.5,238.0,65
266.5,238.0,66
267.5,235.5,66
505.5,119.5,66
505.5,119.5,66
499.5,116.0,67
499.5,116.0,67
493.5,115.5,67
493.5,115.5,67
491.0,115.5,66
491.0,115.5,66
489.5,116.0,65
489.5,116.0,65
488.0,115.0,64
488.0,115.0,64
486.0,115.0,63
486.0,115.0,63
484.0,115.0,62
484.0,115.0,62
483.5,116.0,62
483.5,116.0,61
481.5,116.5,61
481.5,116.5,61
479.5,116.0,60
479.5,116.0,60
477.5,116.0,59
477.5,116.0,59
476.0,116.0,59
476.0,116.0,59
474.0,116.5,59
474.0,116.5,58
472.0,116.5,58
471.0,116.0,58
471.0,116.0,58
471.0,116.0,58
468.0,116.0,58
467.0,116.0,58
467.0,116.0,58
467.0,116.0,58
465.5,117.5,58
463.5,116.0,58
463.5,116.0,58
462.0,116.5,58
462.0,116.5,58
460.0,116.5,58
460.0,116.5,58
459.0,117.0,58
459.0,117.0,58
457.5,117.0,58
457.5,117.0,58
455.5,117.0,58
455.5,117.0,58
454.5,116.0,58
454.5,116.0,58
451.5,116.0,58
451.5,116.0,58
451.0,116.5,58
451.0,116.5,58
450.5,116.0,58
450.5,116.0,58
446.5,118.0,58
446.5,118.0,58
445.5,117.0,58
445.5,117.0,58
445.5,117.0,58
445.5,117.0,58
442.5,117.0,58
442.5,117.0,58
441.5,118.0,58
439.0,117.0,58
439.0,117.0,58
439.0,117.0,58
438.5,117.5,58
436.0,117.0,58
436.0,117.0,58
435.5,117.0,58
435.5,117.0,58
433.0,117.5,58
433.0,117.5,58
432.0,118.5,58
432.0,118.5,58
429.5,116.5,58
429.5,116.5,58
427.5,119.5,58
427.5,119.5,58
427.5,117.5,58
427.5,117.5,58
424.5,118.5,58
424.5,118.5,58
423.5,118.5,58
423.5,118.5,58
422.0,118.5,58
422.0,118.5,58
420.0,117.5,58
420.0,117.5,58
418.5,118.5,58
418.5,118.5,58
416.0,118.5,58
416.0,118.5,58
415.5,118.5,58
415.5,118.5,58
413.5,118.5,58
413.5,118.5,58
410.5,118.0,58
410.5,118.0,58
409.0,119.0,58
409.0,119.0,58
408.5,118.0,58
407.5,118.0,57
407.5,118.0,58
407.5,118.0,58
405.0,119.5,58
404.0,118.5,58
404.0,118.5,57
402.0,117.5,58
402.0,117.5,58
400.0,118.5,58
400.0,118.5,58
398.0,118.5,58
398.0,118.5,58
397.5,118.5,57
397.5,118.5,57
396.0,117.0,57
396.0,117.0,57
393.0,118.5,57
393.0,118.5,57
392.5,118.0,57
392.5,118.0,57
392.0,119.5,57
392.0,119.5,57
389.5,118.0,57
389.5,118.0,57
387.0,119.5,57
387.0,119.5,57
384.0,119.0,57
